category_id,manufacturer_id,product_name
10,82,Networked directional intranet
22,9,Reactive 4thgeneration capacity
59,3,Total radical strategy
81,16,Progressive next generation attitude
84,41,Synergized grid-enabled leverage
38,64,Diverse reciprocal matrix
38,74,Enterprise-wide asymmetric initiative
13,80,Configurable dynamic policy
25,63,Optimized leadingedge functionalities
12,84,Synchronized responsive website
25,43,Organic scalable framework
96,73,Upgradable zero administration contingency
41,22,Future-proofed logistical superstructure
93,35,Re-engineered bi-directional flexibility
11,43,Future-proofed optimizing methodology
79,18,Innovative tertiary superstructure
21,20,Multi-lateral needs-based matrix
75,8,Vision-oriented disintermediate contingency
85,36,Sharable solution-oriented challenge
41,18,Sharable scalable access
23,91,Sharable user-facing portal
5,35,Focused zero administration array
38,82,Virtual secondary time-frame
16,99,Virtual web-enabled firmware
74,90,Ameliorated real-time interface
45,11,Re-contextualized maximized installation
95,92,Focused context-sensitive adapter
41,36,Multi-tiered hybrid array
5,69,Sharable real-time knowledgebase
57,81,Versatile global initiative
83,60,Fully-configurable fault-tolerant intranet
46,79,Object-based client-server attitude
89,62,Business-focused user-facing Local Area Network
32,24,Front-line attitude-oriented complexity
10,50,Re-engineered non-volatile moratorium
47,14,Centralized web-enabled instruction set
22,91,Progressive modular contingency
64,62,Cross-group background monitoring
100,92,Public-key needs-based emulation
1,10,Stand-alone intermediate artificial intelligence
55,26,Synergistic incremental paradigm
18,82,Ameliorated intangible neural-net
62,86,Mandatory multimedia strategy
88,41,Stand-alone dynamic artificial intelligence
30,44,Programmable discrete infrastructure
13,7,Public-key 3rdgeneration encryption
66,73,Decentralized 4thgeneration alliance
97,64,Enhanced directional encoding
36,31,User-centric impactful open architecture
51,88,Advanced needs-based database
96,80,Diverse even-keeled complexity
48,62,Configurable even-keeled toolset
57,28,Switchable disintermediate archive
97,24,Down-sized fresh-thinking system engine
58,42,Seamless reciprocal matrices
22,79,Business-focused explicit time-frame
65,100,Ergonomic methodical service-desk
80,76,Automated multimedia strategy
77,97,Organized bandwidth-monitored productivity
34,53,Horizontal real-time toolset
65,21,Function-based bi-directional encryption
75,87,Synergistic responsive structure
54,67,Digitized exuding migration
9,50,Multi-channeled asynchronous benchmark
45,93,Exclusive asymmetric conglomeration
88,23,Progressive tertiary array
31,42,Assimilated bifurcated Graphical User Interface
7,68,Advanced client-driven productivity
72,40,Cross-group next generation instruction set
72,8,Enhanced client-server intranet
18,29,Monitored logistical task-force
89,50,Versatile full-range core
12,72,Networked fresh-thinking ability
70,9,Managed reciprocal policy
3,54,Streamlined static circuit
39,11,Upgradable systemic knowledgebase
15,92,Centralized discrete task-force
6,87,Customer-focused 5thgeneration data-warehouse
88,31,Front-line demand-driven complexity
39,54,Front-line exuding Local Area Network
17,39,Right-sized discrete algorithm
96,71,Profit-focused coherent hierarchy
9,62,Open-architected 24/7 help-desk
23,11,Networked context-sensitive concept
16,43,Seamless system-worthy analyzer
9,27,Cloned bottom-line Graphic Interface
31,78,Mandatory maximized time-frame
88,97,Adaptive multi-state firmware
44,43,Optimized secondary open system
42,18,Robust leadingedge open architecture
45,45,Exclusive eco-centric capability
92,46,Reduced optimizing budgetary management
40,11,Profit-focused maximized methodology
95,57,Open-source fault-tolerant process improvement
43,67,Extended static implementation
46,95,Organic content-based collaboration
80,67,Stand-alone value-added initiative
66,12,Intuitive client-driven utilization
77,69,Synergistic tangible capability
80,2,Open-architected web-enabled frame
